iter	Passed	Remaining
1376	13667	16109
1377	13676	16098
1378	13685	16087
1379	13695	16076
1380	13703	16065
1381	13716	16058
1382	13725	16047
1383	13735	16037
1384	13745	16028
1385	13755	16018
1386	13765	16008
1387	13778	16002
1388	13787	15991
1389	13797	15981
1390	13807	15971
1391	13815	15959
1392	13824	15948
1393	13834	15938
1394	13843	15928
1395	13853	15917
1396	13862	15906
1397	13872	15896
1398	13881	15886
1399	13891	15875
1400	13900	15864
1401	13912	15857
1402	13921	15846
1403	13930	15836
1404	13939	15824
1405	13950	15815
1406	13960	15805
1407	13969	15795
1408	13979	15784
1409	13988	15773
1410	13996	15762
1411	14005	15751
1412	14014	15739
1413	14023	15729
1414	14032	15718
1415	14041	15707
1416	14051	15697
1417	14060	15686
1418	14069	15675
1419	14077	15664
1420	14088	15654
1421	14103	15650
1422	14112	15639
1423	14123	15631
1424	14132	15620
1425	14141	15609
1426	14150	15598
1427	14159	15587
1428	14168	15576
1429	14177	15565
1430	14186	15554
1431	14194	15542
1432	14203	15531
1433	14211	15519
1434	14220	15508
1435	14230	15498
1436	14236	15485
1437	14246	15474
1438	14255	15463
1439	14264	15453
1440	14274	15443
1441	14285	15434
1442	14294	15423
1443	14303	15413
1444	14314	15404
1445	14324	15393
1446	14333	15383
1447	14342	15372
1448	14351	15361
1449	14360	15350
1450	14368	15339
1451	14377	15327
1452	14385	15316
1453	14394	15305
1454	14403	15294
1455	14412	15283
1456	14420	15272
1457	14429	15260
1458	14441	15253
1459	14450	15242
1460	14460	15232
1461	14469	15222
1462	14482	15215
1463	14491	15204
1464	14500	15193
1465	14509	15182
1466	14518	15171
1467	14526	15159
1468	14534	15148
1469	14544	15137
1470	14553	15127
1471	14561	15115
1472	14571	15106
1473	14580	15095
1474	14589	15084
1475	14598	15072
1476	14607	15061
1477	14616	15051
1478	14626	15041
1479	14639	15034
1480	14648	15024
1481	14658	15014
1482	14667	15003
1483	14677	14993
1484	14685	14982
1485	14694	14971
1486	14703	14960
1487	14711	14949
1488	14720	14938
1489	14729	14927
1490	14737	14915
1491	14746	14904
1492	14755	14893
1493	14763	14882
1494	14772	14871
1495	14782	14861
1496	14792	14851
1497	14801	14841
1498	14811	14831
1499	14822	14822
1500	14833	14813
1501	14844	14804
1502	14854	14795
1503	14865	14786
1504	14876	14778
1505	14885	14767
1506	14898	14760
1507	14910	14752
1508	14922	14744
1509	14932	14734
1510	14943	14725
1511	14957	14720
1512	14969	14712
1513	14979	14702
1514	14994	14697
1515	15005	14688
1516	15016	14679
1517	15032	14675
1518	15042	14665
1519	15054	14658
1520	15067	14651
1521	15078	14642
1522	15089	14633
1523	15102	14626
1524	15113	14617
1525	15122	14607
1526	15135	14600
1527	15147	14592
1528	15158	14583
1529	15168	14573
1530	15178	14563
1531	15189	14554
1532	15201	14547
1533	15211	14537
1534	15222	14528
1535	15233	14519
1536	15243	14509
1537	15255	14501
1538	15268	14495
1539	15281	14487
1540	15290	14476
1541	15300	14467
1542	15311	14458
1543	15321	14448
1544	15331	14438
1545	15340	14427
1546	15351	14419
1547	15362	14409
1548	15368	14396
1549	15379	14387
1550	15390	14378
1551	15403	14371
1552	15413	14361
1553	15423	14351
1554	15433	14341
1555	15442	14330
1556	15450	14319
1557	15459	14308
1558	15468	14297
1559	15477	14287
1560	15487	14277
1561	15504	14273
1562	15514	14263
1563	15525	14254
1564	15534	14243
1565	15543	14232
1566	15551	14221
1567	15560	14210
1568	15569	14199
1569	15577	14188
1570	15586	14177
1571	15598	14169
1572	15608	14159
1573	15616	14148
1574	15625	14137
1575	15634	14126
1576	15643	14115
1577	15651	14104
1578	15664	14097
1579	15674	14086
1580	15683	14076
1581	15695	14068
1582	15703	14057
1583	15713	14047
1584	15721	14035
1585	15730	14024
1586	15740	14014
1587	15749	14003
1588	15757	13992
1589	15765	13981
1590	15774	13970
1591	15783	13958
1592	15791	13947
1593	15800	13936
1594	15809	13925
1595	15817	13914
1596	15826	13903
1597	15835	13892
1598	15843	13882
1599	15857	13875
1600	15868	13866
1601	15877	13855
1602	15887	13846
1603	15897	13835
1604	15906	13825
1605	15915	13814
1606	15923	13803
1607	15932	13792
1608	15941	13781
1609	15949	13770
1610	15958	13759
1611	15966	13748
1612	15974	13736
1613	15983	13725
1614	15992	13714
1615	16000	13703
1616	16011	13694
1617	16021	13684
1618	16030	13674
1619	16040	13664
1620	16050	13654
1621	16059	13643
1622	16068	13633
1623	16077	13622
1624	16086	13611
1625	16094	13600
1626	16102	13588
1627	16112	13578
1628	16121	13567
1629	16130	13557
1630	16138	13545
1631	16146	13534
1632	16155	13523
1633	16163	13512
1634	16172	13501
1635	16181	13491
1636	16191	13481
1637	16206	13475
1638	16214	13464
1639	16223	13453
1640	16234	13444
1641	16243	13434
1642	16252	13423
1643	16260	13412
1644	16269	13401
1645	16278	13390
1646	16286	13379
1647	16295	13368
1648	16303	13357
1649	16311	13346
1650	16320	13335
1651	16329	13324
1652	16337	13313
1653	16345	13301
1654	16355	13291
1655	16364	13281
1656	16373	13270
1657	16383	13260
1658	16400	13256
1659	16410	13247
1660	16419	13236
1661	16428	13226
1662	16437	13215
1663	16446	13204
1664	16455	13193
1665	16463	13183
1666	16472	13172
1667	16481	13161
1668	16488	13149
1669	16496	13137
