iter	MAPE	RMSE	R2	MAE
1894	0.00283716413	0.0600813933	0.9955691529	0.03778534338
1895	0.002837103146	0.06008047314	0.9955692887	0.0377845174
1896	0.002837053255	0.06007982781	0.9955693838	0.03778378202
1897	0.002836936604	0.06007803994	0.9955696475	0.03778215907
1898	0.00283689578	0.06007719028	0.9955697728	0.03778166252
1899	0.002836808934	0.06007606653	0.9955699386	0.03778046438
1900	0.002836706164	0.06007466503	0.9955701453	0.03777905069
1901	0.002836645852	0.06007378042	0.9955702757	0.03777819392
1902	0.002836623475	0.06007363055	0.9955702978	0.03777784716
1903	0.00283657255	0.06007155143	0.9955706045	0.03777716785
1904	0.002836513997	0.06006977809	0.995570866	0.03777636906
1905	0.002836401208	0.0600682441	0.9955710922	0.0377749301
1906	0.002836258699	0.06006695293	0.9955712826	0.0377729844
1907	0.002836229682	0.06006540583	0.9955715107	0.03777262393
1908	0.002836194254	0.06006448775	0.9955716461	0.03777210707
1909	0.002836155833	0.06006364045	0.995571771	0.03777154128
1910	0.00283611314	0.06006274831	0.9955719026	0.03777094589
1911	0.002836095579	0.06006157733	0.9955720752	0.03777073031
1912	0.002836064385	0.06006069155	0.9955722058	0.03777032658
1913	0.002836011037	0.06005968242	0.9955723546	0.03776960355
1914	0.002835909563	0.06005832611	0.9955725546	0.03776819414
1915	0.002835840241	0.06005709217	0.9955727365	0.03776720828
1916	0.002835835582	0.06005597535	0.9955729012	0.03776713685
1917	0.00283579556	0.06005545991	0.9955729772	0.0377665438
1918	0.002835747485	0.06005425255	0.9955731552	0.03776595246
1919	0.002835645635	0.06005286736	0.9955733594	0.03776454875
1920	0.002835604355	0.06005177702	0.9955735201	0.03776401485
1921	0.002835518172	0.06004990687	0.9955737958	0.03776290567
1922	0.002835423064	0.06004838881	0.9955740196	0.03776160308
1923	0.002835386105	0.06004755146	0.995574143	0.03776111182
1924	0.002835361741	0.06004721458	0.9955741927	0.03776074199
1925	0.002835332719	0.06004622838	0.9955743381	0.03776040841
1926	0.002835293497	0.06004533888	0.9955744692	0.03775992776
1927	0.00283526112	0.06004476001	0.9955745545	0.03775945331
1928	0.002835202873	0.0600432985	0.99557477	0.03775865292
1929	0.00283517978	0.06004310594	0.9955747983	0.03775830332
1930	0.002835147121	0.06004263451	0.9955748678	0.03775782905
1931	0.002835055282	0.06004134903	0.9955750573	0.03775654837
1932	0.002835032908	0.06004113126	0.9955750894	0.03775621611
1933	0.002835003406	0.0600401979	0.995575227	0.03775579993
1934	0.002834967484	0.06003954819	0.9955753227	0.03775527617
1935	0.002834891744	0.06003820328	0.995575521	0.03775423546
1936	0.002834825098	0.06003680116	0.9955757276	0.03775337795
1937	0.002834760182	0.06003567283	0.9955758939	0.03775254813
1938	0.002834618199	0.06003387389	0.995576159	0.03775079772
1939	0.002834547715	0.06003309327	0.9955762741	0.03774983293
1940	0.002834443806	0.06002981317	0.9955767575	0.03774848863
1941	0.002834419738	0.06002941502	0.9955768162	0.0377481273
1942	0.002834406002	0.06002917736	0.9955768512	0.03774791426
1943	0.002834318967	0.06002735671	0.9955771195	0.0377467548
1944	0.002834245436	0.0600252544	0.9955774293	0.03774578201
1945	0.002834159891	0.06002425015	0.9955775773	0.03774460599
1946	0.002834142282	0.06002309457	0.9955777475	0.03774439976
1947	0.002834025433	0.06002207684	0.9955778975	0.03774285803
1948	0.002833916356	0.06002049415	0.9955781307	0.0377414456
1949	0.002833843251	0.06001905901	0.9955783422	0.03774046677
1950	0.002833780868	0.06001716719	0.9955786209	0.03773965435
1951	0.002833716516	0.06001523336	0.9955789058	0.03773879919
1952	0.00283366084	0.06001403542	0.9955790823	0.03773804284
1953	0.002833600828	0.06001271955	0.9955792762	0.03773728675
1954	0.002833534186	0.06001081141	0.9955795573	0.03773640456
1955	0.002833492326	0.06001008185	0.9955796648	0.03773579936
1956	0.002833410321	0.06000781701	0.9955799984	0.03773474399
1957	0.002833280386	0.06000588538	0.995580283	0.03773301821
1958	0.002833255356	0.06000504559	0.9955804067	0.03773266424
1959	0.002833222645	0.06000458573	0.9955804744	0.03773217954
1960	0.002833136718	0.06000289221	0.9955807239	0.03773106381
1961	0.002833118136	0.06000136053	0.9955809495	0.03773080656
1962	0.002833061891	0.0600007415	0.9955810407	0.03772997484
1963	0.002833023587	0.06000022569	0.9955811167	0.03772940631
1964	0.002832995395	0.05999634242	0.9955816886	0.03772903689
1965	0.002832965738	0.05999599361	0.99558174	0.03772859703
1966	0.002832877033	0.05999501454	0.9955818842	0.0377273807
1967	0.002832834225	0.05999400279	0.9955820332	0.03772678268
1968	0.002832760718	0.05999279594	0.995582211	0.03772577829
1969	0.002832714138	0.05999205633	0.9955823199	0.0377252074
1970	0.002832663305	0.05999132872	0.995582427	0.03772448468
1971	0.002832655287	0.05999112417	0.9955824572	0.03772435714
1972	0.002832655428	0.05998938271	0.9955827136	0.03772436138
1973	0.002832568874	0.0599884421	0.9955828522	0.0377231666
1974	0.002832535613	0.05998734082	0.9955830143	0.03772270306
1975	0.002832472801	0.05998565204	0.995583263	0.03772186117
1976	0.002832418643	0.05998446219	0.9955834382	0.03772109571
1977	0.002832332298	0.05998286345	0.9955836737	0.03771999524
1978	0.002832314157	0.05998238321	0.9955837444	0.03771976205
1979	0.002832239967	0.05998105227	0.9955839404	0.03771879962
1980	0.002832137178	0.05997956782	0.995584159	0.03771746584
1981	0.002832094345	0.05997841592	0.9955843286	0.03771688293
1982	0.002832068352	0.05997750808	0.9955844622	0.03771651392
1983	0.002831966174	0.05997599988	0.9955846843	0.03771516738
1984	0.002831914331	0.05997514188	0.9955848106	0.03771453091
1985	0.00283188066	0.05997436075	0.9955849256	0.03771404238
1986	0.002831801358	0.05997363718	0.9955850322	0.03771291377
1987	0.002831773411	0.05997336011	0.995585073	0.03771249759
1988	0.002831739831	0.05997242704	0.9955852103	0.03771204629
1989	0.002831679975	0.05997134526	0.9955853696	0.03771119649
1990	0.002831650929	0.05997029945	0.9955855236	0.03771077581
1991	0.002831640234	0.05997009653	0.9955855534	0.03771061193
1992	0.002831557955	0.05996900275	0.9955857145	0.0377094907
1993	0.002831530873	0.05996828454	0.9955858202	0.03770915118
1994	0.002831487347	0.0599672572	0.9955859714	0.0377086381
1995	0.002831410393	0.05996627408	0.9955861162	0.03770760598
1996	0.002831375662	0.05996584503	0.9955861793	0.03770709249
1997	0.002831285131	0.05996404815	0.9955864438	0.03770587189
1998	0.002831197008	0.05996266136	0.995586648	0.03770461968
1999	0.002831166627	0.05996093533	0.9955869021	0.03770421605
2000	0.002831131362	0.05995865869	0.9955872372	0.03770373326
2001	0.002831080581	0.05995758399	0.9955873954	0.03770310132
2002	0.002831073266	0.05995721603	0.9955874495	0.03770298674
2003	0.002831059248	0.05995621778	0.9955875965	0.03770280177
2004	0.002831018725	0.05995434773	0.9955878717	0.03770226232
2005	0.002830977395	0.05995343687	0.9955880058	0.0377017476
2006	0.002830927271	0.05995248198	0.9955881463	0.03770106318
2007	0.002830921257	0.05995231998	0.9955881701	0.03770097251
2008	0.002830851645	0.0599506983	0.9955884088	0.03770004376
